#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
287,"Lo siento","Beret",80,10A,41,2023-07-14,03:50,57,"","Lo siento",2018-08-21,42,58,0,31,0,10,-9,B Minor,4,4S6gJt4RYR34t4sjW8wEah,GBLPF0608870
288,"Whistle","Flo Rida",104,8B,94,2023-07-14,03:44,80,"","Wild Ones",2012-06-22,75,2,0,74,0,20,-6,C Major,4,3bC1ahPIYt1btJzSSEyyrF,USAT21201745
289,"Cero","Dani Martín",82,1B,68,2023-07-14,04:27,61,"","Dani Martin",2013-09-17,49,15,0,36,0,20,-4,B Major,4,5vCgDt0CtheaWVKzMW5KkO,ES5021300382
290,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth,Selena Gomez",100,12A,56,2023-07-14,03:37,80,"soft pop, pop, ","Nine Track Mind",2016-01-29,73,62,0,35,10,10,-8,C♯/D♭ Minor,4,06KyNuuMOX1ROXRhj787tj,USAT21502909
291,"Forever Young","Alphaville",137,8A,48,2023-07-14,03:46,84,"synthpop","Forever Young",1984-00-00,49,42,0,33,0,20,-9,A Minor,4,4S1VYqwfkLit9mKVY3MXoo,DEA629260150
292,"The Power","SNAP!",109,8B,88,2023-07-14,03:48,3,"eurodance","World Power",1990-01-01,74,4,1,71,0,30,-8,C Major,4,0nQLxiNGbbUoSGrxksETLm,DET189000100
293,"Locomia","Loco Mía",115,5A,73,2023-07-14,05:45,0,"latin pop","Taiyo",2016-03-11,78,12,71,97,0,0,-13,C Minor,4,7kSclohbIAwXvlN0wU1wks,QMDA71530597
294,"Titanium (feat. Sia)","David Guetta,Sia",126,5A,79,2023-07-14,04:05,85,"edm, ","Nothing but the Beat (Ultimate Edition)",2012-12-07,60,7,15,30,10,10,-4,C Minor,4,0TDLuuLlV54CkRRUOahJb4,GB28K1100036
295,"Jump Around","House Of Pain",107,9A,71,2023-07-14,03:34,67,"","House of Pain (Fine Malt Lyrics)",1992-07-21,85,1,0,82,0,10,-6,E Minor,4,6JymsaWDHk2Yj4e0yNBIFH,USTB10300119
296,"Mayonesa","Chocolate",97,6B,84,2023-07-14,03:51,68,"merengue","2000 Grandes Exitos",2000-02-20,85,9,0,89,0,0,-5,A#/B♭ Major,4,5Qjx4obghhfhsh6DiUwpNM,UYM120000401
297,"No Puedo Vivir Sin Ti","Los Ronaldos",128,8B,80,2023-07-14,04:14,41,"","4 Canciones",2007-03-19,59,41,0,60,0,10,-5,C Major,4,1EC0JRoSi9YL5zExd3Euc3,FR6V80702531
298,"América, América","Nino Bravo",193,11B,72,2023-07-14,03:30,25,"","N1NO",2005-01-01,19,42,0,32,0,20,-8,A Major,4,5X9yP4oSAHO8gdN5Zom5of,ES6009500226
299,"Me Enamora","Juanes",94,9A,84,2023-07-14,03:12,70,"latin pop, colombian pop, rock en español","La Vida Es Un Ratico",2007-01-01,68,2,0,89,0,0,-4,E Minor,4,5BY0p2EH4EznNZ0MFD9mjt,USUM70748139
300,"Stereo Love","Edward Maya,Vika Jigulina",127,11B,78,2023-07-14,04:07,73,"","Stereo Love",2009-07-07,78,3,2,36,0,0,-5,A Major,4,0gBfLS4aqbrr1ZvVv8dqWB,ROCMA0901578
301,"Don't Go Breaking My Heart","Elton John,Kiki Dee",131,7B,84,2023-07-14,04:35,81,"","Rock Of The Westies",1975-10-24,73,15,0,78,0,0,-9,F Major,4,7HW5WIw7ZgZORCzUxv5gW5,GBALX7600007
302,"Umbrella","Rihanna,JAY-Z",174,3B,83,2023-07-14,04:35,85,"hip hop, east coast hip hop, rap","Good Girl Gone Bad: Reloaded",2008-06-02,59,1,0,58,10,0,-5,C♯/D♭ Major,4,49FYlytm3dAAraYgpoJZux,USUM70736771
303,"Losing My Religion","R.E.M.",126,8A,86,2023-07-14,04:28,87,"jangle pop, alternative rock, rock","Out Of Time (25th Anniversary Edition)",1991-03-12,67,18,0,80,0,10,-5,A Minor,4,31AOj9sFz2gM0O3hMARRBx,USC4R1605373
304,"Peter Pan","El Canto Del Loco",92,12B,83,2023-07-14,04:19,60,"","Personas",2008-00-00,57,29,0,48,0,20,-3,E Major,4,1gkBsKxTpVHIn1nLf05CUo,ES5020800149
305,"Feel It Still","Portugal. The Man",79,12A,80,2023-07-14,02:43,83,"","Woodstock",2017-06-16,80,4,0,75,0,0,-5,C♯/D♭ Minor,4,6QgjcU0zLnzq5OrUoSZ3OK,USAT21700437
306,"Escapar (Slipping Away) (feat. Amaral) - 2006 Remastered Version","Moby,Amaral",118,10A,63,2023-07-14,03:42,0,"downtempo, trip hop, coupé décalé","Go - The Very Best Of Moby (Deluxe)",2006-10-24,62,1,0,54,0,0,-7,B Minor,4,41nv6To7wnoVnFJSb1FF36,GBAJH0602221
307,"Believer","Imagine Dragons",125,3A,78,2023-07-14,03:24,88,"","Evolve",2017-06-23,78,6,0,67,10,0,-4,A#/B♭ Minor,4,0pqnGHJpmpxLKifKRmU6WP,USUM71700626
308,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2023-07-14,04:29,87,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524
